id,group,area_red_neurite,area_red_soma,neurite_auto_count_total,neurite_auto_count_red,neurite_auto_count_yellow,soma_auto_count_total,soma_red_auto,soma_yellow_auto,n_projection,axonal termination,avg_area_red_neurite,avg_area_red_soma,avg_area_red_cell,avg_cell_auto_count_red,avg_cell_auto_count_yellow,avg_cell_count_sum,avg_cell_auto_count,avg_neurite_auto_count_total,avg_neurite_auto_count_red,avg_neurite_auto_count_yellow,avg_neurite_count_sum,avg_soma_auto_count_total,avg_soma_red_auto,avg_soma_yellow_auto,avg_soma_count_sum,avg_n_projection,avg_axonal_termination,original_fn,temperature,genotype
888069,daf-2(e1370) 25C,0,3.48,0,0,0,15,13,3,0,0,0,1.74,1.74,6.5,1.5,8,7.5,0,0,0,0,7.5,6.5,1.5,8,0,0,"AMH117 25C, animal 44.oir",25°C,daf-2(e1370)
899202,daf-2(e1370) 25C,0,3.74,0,0,0,6,4,2,2,0,0,1.87,1.87,2,1,3,3,0,0,0,0,3,2,1,3,1,0,"AMH117 25C, animal 45.oir",25°C,daf-2(e1370)
910179,daf-2(e1370) 25C,0,2.94,0,0,0,7,7,1,0,0,0,1.47,1.47,3.5,0.5,4,3.5,0,0,0,0,3.5,3.5,0.5,4,0,0,"AMH117 25C, animal 47.oir",25°C,daf-2(e1370)
924182,daf-2(e1370) 25C,0.05,2.04,1,0,1,3,3,5,0,0,0.025,1.02,1.045,1.5,3,4.5,2,0.5,0,0.5,0.5,1.5,1.5,2.5,4,0,0,"AMH117 25C, animal 32.oir",25°C,daf-2(e1370)
958711,daf-2(e1370) 25C,0,2.37,0,0,0,7,4,3,0,0,0,2.37,2.37,4,3,7,7,0,0,0,0,7,4,3,7,0,0,"AMH117 25C, animal 28.oir",25°C,daf-2(e1370)
174089,unc-33(e204) 25C,0.65,1.79,8,8,0,13,10,3,0,0,0.325,0.895,1.22,9,1.5,10.5,10.5,4,4,0,4,6.5,5,1.5,6.5,0,0,"AMH59 25C, animal 1.oir",25°C,unc-33(e204)
214317,unc-33(e204) 25C,0.87,1.97,5,4,1,2,0,2,0,0,0.435,0.985,1.42,2,1.5,3.5,3.5,2.5,2,0.5,2.5,1,0,1,1,0,0,"AMH59 25C, animal 16.oir",25°C,unc-33(e204)
241999,unc-33(e204) 25C,0.3,2.69,2,2,0,7,6,1,1,0,0.15,1.345,1.495,4,0.5,4.5,4.5,1,1,0,1,3.5,3,0.5,3.5,0.5,0,"AMH59 25C, animal 6.oir",25°C,unc-33(e204)
242106,unc-33(e204) 25C,1.44,5.92,5,4,1,12,7,5,1,0,0.72,2.96,3.68,5.5,3,8.5,8.5,2.5,2,0.5,2.5,6,3.5,2.5,6,0.5,0,"AMH59 25C, animal 15.oir",25°C,unc-33(e204)
301728,unc-33(e204) 25C,2.04,3.24,5,4,1,6,3,0,2,0,1.02,1.62,2.64,3.5,0.5,4,5.5,2.5,2,0.5,2.5,3,1.5,0,1.5,1,0,"AMH59 25C, animal 21.oir",25°C,unc-33(e204)
344431,unc-33(e204) 25C,0,2.86,0,0,0,16,13,3,0,0,0,1.43,1.43,6.5,1.5,8,8,0,0,0,0,8,6.5,1.5,8,0,0,"AMH59 25C, animal 12.oir",25°C,unc-33(e204)
347647,unc-33(e204) 25C,0.84,2.58,5,1,4,10,7,3,0,0,0.42,1.29,1.71,4,3.5,7.5,7.5,2.5,0.5,2,2.5,5,3.5,1.5,5,0,0,"AMH59 25C, animal 22.oir",25°C,unc-33(e204)
404172,unc-33(e204) 25C,1.1,4.67,5,5,0,4,4,0,0,0,0.55,2.335,2.885,4.5,0,4.5,4.5,2.5,2.5,0,2.5,2,2,0,2,0,0,"AMH59 25C, animal 9.oir",25°C,unc-33(e204)
422896,unc-33(e204) 25C,1.44,3.45,4,5,1,7,4,3,0,0,0.72,1.725,2.445,4.5,2,6.5,5.5,2,2.5,0.5,3,3.5,2,1.5,3.5,0,0,"AMH59 25C, animal 3.oir",25°C,unc-33(e204)
457323,unc-33(e204) 25C,0.09,2.75,1,1,0,5,5,1,1,0,0.045,1.375,1.42,3,0.5,3.5,3,0.5,0.5,0,0.5,2.5,2.5,0.5,3,0.5,0,"AMH59 25C, animal 13.oir",25°C,unc-33(e204)
468032,unc-33(e204) 25C,1.18,3.1,4,2,1,5,5,1,2,0,0.59,1.55,2.14,3.5,1,4.5,4.5,2,1,0.5,1.5,2.5,2.5,0.5,3,1,0,"AMH59 25C, animal 28.oir",25°C,unc-33(e204)
478414,unc-33(e204) 25C,0.31,3.92,3,0,3,10,9,1,0,0,0.155,1.96,2.115,4.5,2,6.5,6.5,1.5,0,1.5,1.5,5,4.5,0.5,5,0,0,"AMH59 25C, animal 10.oir",25°C,unc-33(e204)
490375,unc-33(e204) 25C,0,3.28,0,1,0,8,6,2,0,0,0,1.64,1.64,3.5,1,4.5,4,0,0.5,0,0.5,4,3,1,4,0,0,"AMH59 25C, animal 31.oir",25°C,unc-33(e204)
530142,unc-33(e204) 25C,0.45,1.56,3,3,0,7,3,4,0,0,0.225,0.78,1.005,3,2,5,5,1.5,1.5,0,1.5,3.5,1.5,2,3.5,0,0,"AMH59 25C, animal 4.oir",25°C,unc-33(e204)
542276,unc-33(e204) 25C,1.39,2.71,6,6,0,11,8,2,0,0,0.695,1.355,2.05,7,1,8,8.5,3,3,0,3,5.5,4,1,5,0,0,"AMH59 25C, animal 7.oir",25°C,unc-33(e204)
606990,unc-33(e204) 25C,0.38,2.16,1,3,0,6,7,0,0,0,0.19,1.08,1.27,5,0,5,3.5,0.5,1.5,0,1.5,3,3.5,0,3.5,0,0,"AMH59 25C, animal 34.oir",25°C,unc-33(e204)
607268,unc-33(e204) 25C,1.03,1.03,7,7,1,4,2,2,0,0,0.515,0.515,1.03,4.5,1.5,6,5.5,3.5,3.5,0.5,4,2,1,1,2,0,0,"AMH59 25C, animal 29.oir",25°C,unc-33(e204)
679148,unc-33(e204) 25C,0.22,2.22,1,1,0,7,5,2,0,0,0.11,1.11,1.22,3,1,4,4,0.5,0.5,0,0.5,3.5,2.5,1,3.5,0,0,"AMH59 25C, animal 24.oir",25°C,unc-33(e204)
726104,unc-33(e204) 25C,0.52,2.06,4,4,0,8,8,0,1,0,0.26,1.03,1.29,6,0,6,6,2,2,0,2,4,4,0,4,0.5,0,"AMH59 25C, animal 5.oir",25°C,unc-33(e204)
