id,group,area_red_neurite,area_red_soma,neurite_auto_count_total,neurite_auto_count_red,neurite_auto_count_yellow,soma_auto_count_total,soma_red_auto,soma_yellow_auto,n_projection,axonal termination,avg_area_red_neurite,avg_area_red_soma,avg_area_red_cell,avg_cell_auto_count_red,avg_cell_auto_count_yellow,avg_cell_count_sum,avg_cell_auto_count,avg_neurite_auto_count_total,avg_neurite_auto_count_red,avg_neurite_auto_count_yellow,avg_neurite_count_sum,avg_soma_auto_count_total,avg_soma_red_auto,avg_soma_yellow_auto,avg_soma_count_sum,avg_n_projection,avg_axonal_termination,original_fn,temperature,genotype
697484,daf-2(e1370) 20C,0,2.94,0,0,0,7,3,4,0,0,0,1.47,1.47,1.5,2,3.5,3.5,0,0,0,0,3.5,1.5,2,3.5,0,0,"AMH117 20C, animal 3.oir",20°C,daf-2(e1370)
720798,daf-2(e1370) 20C,0,1.05,0,0,0,8,8,0,0,0,0,1.05,1.05,8,0,8,8,0,0,0,0,8,8,0,8,0,0,"AMH117 20C, animal 23.oir",20°C,daf-2(e1370)
738979,daf-2(e1370) 20C,0,4.36,0,0,0,24,16,10,0,0,0,2.18,2.18,8,5,13,12,0,0,0,0,12,8,5,13,0,0,"AMH117 20C, animal 32.oir",20°C,daf-2(e1370)
742590,daf-2(e1370) 20C,0,3.64,0,0,0,14,12,2,0,0,0,1.82,1.82,6,1,7,7,0,0,0,0,7,6,1,7,0,0,"AMH117 20C, animal 14.oir",20°C,daf-2(e1370)
782427,daf-2(e1370) 20C,0,2.81,0,0,0,22,20,2,0,0,0,1.405,1.405,10,1,11,11,0,0,0,0,11,10,1,11,0,0,"AMH117 20C, animal 22.oir",20°C,daf-2(e1370)
809527,daf-2(e1370) 20C,0,2.66,0,0,0,7,9,0,0,0,0,1.33,1.33,4.5,0,4.5,3.5,0,0,0,0,3.5,4.5,0,4.5,0,0,"AMH117 20C, animal 19.oir",20°C,daf-2(e1370)
813260,daf-2(e1370) 20C,0,3.04,0,0,0,5,4,2,0,0,0,1.52,1.52,2,1,3,2.5,0,0,0,0,2.5,2,1,3,0,0,"AMH117 20C, animal 30.oir",20°C,daf-2(e1370)
860451,daf-2(e1370) 20C,0,1.84,0,0,0,7,6,1,0,0,0,1.84,1.84,6,1,7,7,0,0,0,0,7,6,1,7,0,0,"AMH117 20C, animal 15.oir",20°C,daf-2(e1370)
968635,daf-2(e1370) 20C,0,2.54,0,0,0,12,9,3,0,0,0,1.27,1.27,4.5,1.5,6,6,0,0,0,0,6,4.5,1.5,6,0,0,"AMH117 20C, animal 13.oir",20°C,daf-2(e1370)
290020,daf-2(e1370) 20C,0.05,3.32,1,1,0,15,9,6,0,0,0.025,1.66,1.685,5,3,8,8,0.5,0.5,0,0.5,7.5,4.5,3,7.5,0,0,"AMH117 20C, animal 6.oir",20°C,daf-2(e1370)
650524,daf-2(e1370) 20C,0.04,3.49,1,1,0,9,5,3,0,1,0.02,1.745,1.765,3,1.5,4.5,5,0.5,0.5,0,0.5,4.5,2.5,1.5,4,0,0.5,"AMH117 20C, animal 21.oir",20°C,daf-2(e1370)
656521,daf-2(e1370) 20C,0.05,2.96,1,1,0,6,3,4,0,0,0.025,1.48,1.505,2,2,4,3.5,0.5,0.5,0,0.5,3,1.5,2,3.5,0,0,"AMH117 20C, animal 7.oir",20°C,daf-2(e1370)
376913,daf-2(e1370) 20C,0,3.78,0,2,0,11,8,3,0,0,0,1.89,1.89,5,1.5,6.5,5.5,0,1,0,1,5.5,4,1.5,5.5,0,0,"AMH117 20C, animal 25.oir",20°C,daf-2(e1370)
724757,daf-2(e1370) 20C,0.31,1.22,3,3,0,3,3,2,1,0,0.155,0.61,0.765,3,1,4,3,1.5,1.5,0,1.5,1.5,1.5,1,2.5,0.5,0,"AMH117 20C, animal 9.oir",20°C,daf-2(e1370)
846209,daf-2(e1370) 20C,1.06,1.7,2,7,0,9,9,0,0,0,1.06,1.7,2.76,16,0,16,11,2,7,0,7,9,9,0,9,0,0,"AMH117 20C, animal 31.oir",20°C,daf-2(e1370)
357111,unc-33(e204) 20C,0,1.29,0,0,0,3,2,1,1,0,0,1.29,1.29,2,1,3,3,0,0,0,0,3,2,1,3,1,0,"AMH59 20C, animal 3.oir",20°C,unc-33(e204)
438010,unc-33(e204) 20C,0,1.11,0,0,0,8,9,0,0,0,0,1.11,1.11,9,0,9,8,0,0,0,0,8,9,0,9,0,0,"AMH59 20C, animal 110.oir",20°C,unc-33(e204)
